,Close,Date,High,Low,Open,close_predicted,open_predicted
0,1370.2,2017-04-18,1410.0,1367.0,1399.95,1395.414502695312,1391.4749221646402
0,1391.85,2017-04-17,1395.55,1365.0,1365.0,1368.385541434915,1368.3509987791367
0,1364.8,2017-04-13,1373.4,1347.35,1354.0,1354.9984944212524,1354.206426305845
0,1354.0,2017-04-12,1386.45,1351.15,1382.8,1378.358194160749,1375.3235263657698
0,1372.35,2017-04-11,1400.45,1370.1,1387.85,1386.4422791946436,1381.2377894488359
0,1381.35,2017-04-10,1424.9,1377.3,1410.0,1405.648570403558,1401.2053356925649
0,1406.6,2017-04-07,1434.0,1402.55,1421.3,1421.6413354794952,1415.0838383629607
0,1438.5,2017-04-06,1448.9,1402.2,1409.0,1413.0582394002558,1413.4131462887285
0,1415.0,2017-04-05,1418.0,1380.1,1395.2,1397.9387471363812,1400.043274898212
0,1374.65,2017-04-03,1380.5,1337.05,1342.0,1343.2682095017663,1347.6199897154602
0,1320.9,2017-03-31,1337.65,1266.0,1266.0,1263.0623075083724,1274.8102978450715
0,1270.65,2017-03-30,1274.75,1253.0,1255.0,1251.9177726717244,1256.3292927530567
0,1256.65,2017-03-29,1260.0,1233.35,1251.7,1245.9212488620697,1254.0072293418823
0,1245.75,2017-03-28,1264.0,1242.1,1258.0,1250.9943818146435,1253.5349218292633
0,1251.1,2017-03-27,1278.75,1247.2,1271.1,1262.4496528357645,1265.1356176299246
0,1286.75,2017-03-24,1292.0,1268.45,1274.1,1271.3316403967488,1275.2561331112952
0,1273.3,2017-03-23,1277.55,1258.0,1263.15,1259.9332871370962,1263.7548095444124
0,1259.7,2017-03-22,1265.9,1246.55,1252.0,1247.8806412660315,1251.841086345873
0,1263.8,2017-03-21,1283.9,1259.3,1282.2,1275.157604599643,1277.393424546383
0,1280.8,2017-03-20,1306.25,1278.35,1306.0,1298.835528437443,1299.742215305871
0,1300.7,2017-03-17,1319.95,1298.05,1308.0,1304.5487093223057,1303.18275575898
0,1297.65,2017-03-16,1310.4,1293.6,1310.0,1306.3345801924208,1306.187784066126
0,1304.95,2017-03-15,1316.3,1290.4,1291.05,1289.285544298886,1290.5697839016184
0,1289.5,2017-03-14,1319.0,1285.25,1318.75,1310.8926727349124,1312.1623319867103
0,1281.65,2017-03-10,1296.0,1261.2,1290.25,1283.5280939570337,1289.9126562967353
0,1286.75,2017-03-09,1298.0,1281.5,1290.0,1286.7418867705778,1287.0010635711208
0,1291.2,2017-03-08,1307.7,1286.1,1307.7,1302.6566481379205,1303.4834276796196
0,1304.95,2017-03-07,1327.0,1296.15,1318.85,1313.6761250366471,1314.7256037542722
0,1305.35,2017-03-06,1312.0,1265.25,1269.0,1266.476136432644,1275.401537735708
0,1258.55,2017-03-03,1287.8,1241.55,1241.55,1235.283188298806,1239.447782346089
0,1236.75,2017-03-02,1254.7,1227.05,1237.9,1230.7744614388039,1235.1880097748494
0,1234.5,2017-03-01,1244.4,1230.0,1240.1,1234.0195487498722,1237.2087650787146
0,1238.05,2017-02-28,1248.0,1228.5,1232.0,1226.6480298141284,1230.5797111994943
0,1238.9,2017-02-27,1256.8,1190.35,1190.5,1183.2273403054655,1197.8353526703424
0,1182.75,2017-02-23,1222.0,1179.35,1213.6,1198.8489224504744,1205.8101544580495
0,1207.5,2017-02-22,1211.65,1092.0,1093.0,1082.949055865805,1118.9214652881615
0,1088.2,2017-02-21,1090.95,1073.05,1075.2,1062.4890915088745,1076.6740920989996
0,1075.4,2017-02-20,1078.85,1066.5,1070.55,1057.0938760542322,1070.3488174285103
0,1075.5,2017-02-17,1078.2,1058.45,1066.5,1052.3837752735612,1068.287553527606
0,1067.5,2017-02-16,1069.45,1052.55,1052.55,1039.0550658527272,1054.2244248666768
0,1051.3,2017-02-15,1057.5,1045.25,1052.9,1037.5463112501247,1051.5713599723395
0,1049.8,2017-02-14,1052.9,1029.9,1035.0,1019.6716488462855,1037.6302496293551
0,1029.85,2017-02-13,1034.0,1022.0,1033.0,1016.2755045232805,1032.3466312372764
0,1030.15,2017-02-10,1035.55,1025.55,1035.0,1018.4470994943722,1033.4231236399285
0,1032.75,2017-02-09,1034.0,1026.8,1028.0,1012.9093531061476,1027.5983731257381
0,1025.15,2017-02-08,1038.25,1022.0,1030.9,1013.3420529691259,1027.9631003234529
0,1030.9,2017-02-07,1042.35,1027.2,1042.0,1024.2604842615833,1039.1956976794097
0,1041.65,2017-02-06,1044.9,1032.05,1037.0,1021.6170850827823,1037.0776470704513
0,1033.65,2017-02-03,1050.45,1030.1,1046.0,1027.702025744461,1042.3919461699163
0,1043.5,2017-02-02,1050.8,1038.25,1050.0,1033.6792037737714,1048.2055553097512
0,1049.65,2017-02-01,1050.9,1035.2,1046.1,1030.5291788463478,1047.4186836445278
0,1045.2,2017-01-31,1053.8,1040.3,1046.85,1031.066766889566,1044.9710334117817
0,1044.8,2017-01-30,1046.45,1024.8,1024.95,1010.0564207924274,1027.9901639472127
0,1025.1,2017-01-27,1028.9,1019.0,1020.25,1004.453435442399,1019.5661168645439
0,1017.3,2017-01-25,1032.7,1016.15,1032.0,1013.0688776343097,1028.0373101540067
0,1027.3,2017-01-24,1028.8,1017.0,1017.0,1001.5574969868621,1017.707525435768
0,1015.9,2017-01-23,1031.0,1012.8,1021.8,1003.5123899347986,1018.6083798234405
0,1025.8,2017-01-20,1037.45,1023.9,1033.95,1016.5066350628786,1030.8542153949159
0,1033.7,2017-01-19,1045.3,1031.0,1035.15,1018.7626535843874,1032.4418883365556
0,1032.55,2017-01-18,1048.0,1028.75,1042.6,1024.609461613423,1039.3111936827563
0,1041.25,2017-01-17,1068.0,1038.5,1065.0,1044.8693153608133,1059.45867013351
0,1076.25,2017-01-16,1093.95,1073.95,1089.95,1073.8893282518984,1085.7683236194302
0,1090.4,2017-01-13,1097.5,1084.55,1084.55,1072.063988753686,1083.1928879404002
0,1083.3,2017-01-12,1090.35,1079.8,1087.0,1073.4262026751712,1084.8344999947456
0,1086.05,2017-01-11,1095.7,1084.0,1095.0,1080.9208846596584,1091.9817080006871
0,1089.85,2017-01-10,1094.4,1080.0,1080.0,1067.6161004807782,1079.9830678239675
0,1077.7,2017-01-09,1086.0,1071.0,1077.0,1062.998879315664,1075.523490974529
0,1074.95,2017-01-06,1085.0,1073.1,1074.2,1060.5816150907297,1071.4621288668968
0,1077.4,2017-01-05,1079.9,1068.75,1071.0,1057.9656032874188,1070.9210181060093
0,1067.15,2017-01-04,1093.0,1064.3,1092.9,1074.031200842368,1087.3467701103536
0,1089.4,2017-01-03,1097.0,1081.1,1089.85,1076.1935182537036,1088.7312869720308
0,1085.1,2017-01-02,1090.0,1072.35,1084.0,1069.9214661770548,1084.263855705398
0,1082.4,2016-12-30,1085.0,1063.1,1064.8,1051.686881545288,1067.3619707780429
0,1065.45,2016-12-29,1068.8,1049.5,1050.0,1036.1469188649426,1051.7243278199624
0,1049.7,2016-12-28,1069.55,1047.1,1067.9,1049.6247944391334,1063.4214120378488
0,1064.7,2016-12-27,1067.1,1047.0,1047.85,1033.957010808497,1050.1277500817848
0,1047.45,2016-12-26,1066.0,1044.65,1054.35,1037.3192394090415,1050.4933373025488
0,1057.3,2016-12-23,1068.95,1052.0,1052.0,1037.2443476047256,1050.0018498939437
0,1053.35,2016-12-22,1062.65,1050.95,1058.0,1042.617870270286,1055.3606429849951
0,1063.25,2016-12-21,1067.3,1057.2,1060.1,1046.1554812807794,1059.188493631538
0,1057.9,2016-12-20,1061.0,1053.15,1054.7,1040.7696570149553,1053.6572953481182
0,1062.55,2016-12-19,1066.95,1054.35,1055.0,1041.1478483238257,1054.6580541991286
0,1057.15,2016-12-16,1062.0,1052.0,1052.0,1037.9926904303907,1050.878653798671
0,1052.95,2016-12-15,1067.6,1048.65,1052.4,1036.7000635228924,1049.6320958822196
0,1059.5,2016-12-14,1064.45,1038.2,1039.8,1025.1267104178696,1042.6218079555395
0,1039.8,2016-12-13,1041.0,1027.55,1028.0,1013.142926096928,1029.1769631255224
0,1027.2,2016-12-12,1041.7,1020.5,1020.5,1003.7514542177371,1018.5649490092761
0,1028.95,2016-12-09,1031.85,1020.3,1022.0,1006.3654385911502,1022.0435594746089
0,1020.05,2016-12-08,1021.8,1004.35,1005.05,988.9085827923368,1007.0671128424888
0,999.15,2016-12-07,1007.6,996.35,1004.0,985.7027512701272,1001.7289173021961
0,1005.2,2016-12-06,1006.55,994.6,996.0,979.2140115334059,996.8247438774629
0,993.85,2016-12-05,999.7,986.5,995.0,976.4390483660586,994.1982435382406
0,994.75,2016-12-02,1005.0,991.8,995.9,977.5540818886795,993.5634480286958
0,997.75,2016-12-01,1015.0,995.0,1000.0,980.9509726224824,996.6317728657193
0,990.05,2016-11-30,999.95,986.65,999.95,980.3526255498432,997.4643346757994
0,997.7,2016-11-29,1004.3,988.05,989.0,971.3146532894161,988.9229623047634
0,986.65,2016-11-28,1000.6,984.1,993.0,973.2911518036412,989.9242465840375
0,993.7,2016-11-25,995.9,984.35,990.0,972.0748846147674,990.2872182777717
0,987.35,2016-11-24,1005.55,982.2,1005.55,983.7112470760487,1002.0402623248757
0,1009.0,2016-11-23,1010.5,999.55,1005.0,987.9969952640863,1005.3636320045525
0,1001.45,2016-11-22,1007.8,993.3,997.7,979.9186874391812,997.1497173736276
0,991.5,2016-11-21,993.55,983.2,987.55,969.7059700342122,987.6488046954033
0,987.5,2016-11-18,992.7,982.0,985.0,966.8465108710291,984.0389341956732
0,977.75,2016-11-17,998.15,974.4,986.0,964.7691319866617,982.1906921427895
0,986.55,2016-11-16,996.8,980.7,995.0,974.9724129669953,993.0534078440536
0,985.4,2016-11-15,1000.0,979.55,996.5,975.6363579749586,993.8795093777716
0,1001.75,2016-11-11,1017.5,995.1,997.85,979.2859594115282,995.7203289386017
0,1010.4,2016-11-10,1028.95,1007.0,1018.6,999.3350614759174,1014.9459393817441
0,1004.6,2016-11-09,1009.0,930.0,950.0,928.3880130458288,965.6954867904692
0,1003.5,2016-11-08,1005.7,998.3,1005.7,988.2656650671815,1004.8608394684113
0,1001.15,2016-11-07,1016.55,999.05,1014.0,994.2607237822604,1010.3577605649781
0,1005.55,2016-11-04,1026.9,1000.0,1020.25,999.3749940895004,1016.4666104310712
0,1023.95,2016-11-03,1034.75,1020.6,1023.85,1007.0997478448758,1021.4744122334577
0,1023.75,2016-11-02,1042.85,1021.0,1041.0,1021.4889911958335,1036.7717103780749
0,1051.0,2016-11-01,1055.95,1047.4,1051.3,1036.5753582321322,1049.662187948325
0,1051.2,2016-10-30,1058.75,1046.3,1058.75,1042.7530413590039,1056.7852846994438
0,1054.95,2016-10-28,1058.0,1043.8,1050.0,1035.1610144149552,1050.4033585256932
0,1048.7,2016-10-27,1053.9,1043.4,1051.1,1035.738829442503,1049.725678805974
0,1054.05,2016-10-26,1059.45,1052.1,1056.05,1041.4966397092928,1053.9293296755502
0,1060.85,2016-10-25,1065.25,1054.2,1065.0,1049.9893935272562,1063.9209143255632
0,1063.3,2016-10-24,1074.0,1060.65,1070.0,1054.7365118736668,1067.1216921642422
0,1064.2,2016-10-21,1097.0,1058.4,1097.0,1075.9859983660933,1090.9053862323535
0,1087.55,2016-10-20,1098.0,1084.05,1093.95,1079.931174156767,1091.218994383456
0,1087.35,2016-10-19,1094.7,1081.4,1084.45,1071.4299496384524,1082.9868614186448
0,1081.1,2016-10-18,1082.75,1062.05,1066.0,1052.681610253304,1068.5524997150376
0,1060.65,2016-10-17,1080.8,1058.75,1080.0,1062.2594575199983,1075.255552418795
0,1077.65,2016-10-14,1082.0,1061.65,1063.0,1049.5994090856113,1064.5330131758467
0,1057.15,2016-10-13,1089.05,1052.0,1089.0,1067.9061986651873,1082.9435783360486
0,1096.35,2016-10-10,1122.0,1094.0,1114.0,1097.7020993774775,1108.5568772054235
0,1109.0,2016-10-07,1123.05,1106.5,1114.0,1101.0456240179963,1110.5512240819935
0,1110.8,2016-10-06,1126.25,1092.0,1092.0,1079.209093991617,1092.6787065205488
0,1089.4,2016-10-05,1106.5,1085.8,1104.0,1088.4234174220533,1100.1026361254553
0,1096.35,2016-10-04,1108.3,1092.0,1093.05,1080.2896587049024,1090.6116341519191
0,1090.7,2016-10-03,1107.95,1076.25,1087.0,1071.8963842854419,1086.0411883127567
0,1083.7,2016-09-30,1094.55,1066.3,1068.0,1054.1172933777002,1068.9762818884744
0,1072.45,2016-09-29,1110.75,1067.4,1095.0,1075.0712359869453,1088.3396254825989
0,1090.65,2016-09-28,1108.0,1086.3,1107.9,1091.9585207590126,1104.0321905085038
0,1110.5,2016-09-27,1125.95,1106.6,1117.0,1103.5983209002652,1113.6048417682734
0,1107.2,2016-09-26,1129.55,1100.25,1103.4,1089.7473545775251,1100.1025609981384
0,1102.8,2016-09-23,1109.45,1089.0,1089.0,1076.9358275247832,1089.6422855782164
0,1088.95,2016-09-22,1095.8,1079.0,1083.0,1069.8665732747404,1082.561241361411
0,1072.25,2016-09-21,1084.9,1069.0,1074.0,1059.4641534659472,1071.1329672181548
0,1074.2,2016-09-20,1084.75,1069.05,1084.0,1068.6277289254585,1081.5320496826466
0,1082.4,2016-09-19,1088.0,1071.0,1072.55,1059.4179943653883,1072.7475010802827
0,1075.55,2016-09-16,1093.85,1059.1,1067.0,1051.2030666340327,1066.5472552909332
