Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
3/14/2017,1318.75,1319,1285.25,1288.25,1289.5,6346620,82447.95
3/15/2017,1291.05,1316.3,1290.4,1302,1304.95,5510658,72018.63
3/16/2017,1310,1310.4,1293.6,1296.8,1297.65,3639964,47328.22
3/17/2017,1308,1319.95,1298.05,1300.55,1300.7,5195076,67681.24
3/20/2017,1306,1306.25,1278.35,1280.95,1280.8,2941714,37884.56
3/21/2017,1282.2,1283.9,1259.3,1265.2,1263.8,5165107,65607.87
3/22/2017,1252,1265.9,1246.55,1260.45,1259.7,4638338,58308
3/23/2017,1263.15,1277.55,1258,1272,1273.3,2699090,34262.25
3/24/2017,1274.1,1292,1268.45,1284,1286.75,3721911,47730.79
3/27/2017,1271.1,1278.75,1247.2,1248.5,1251.1,7418122,93337.36
3/28/2017,1258,1264,1242.1,1246.3,1245.75,4961934,62009.77
3/29/2017,1251.7,1260,1233.35,1259.2,1256.65,4325787,53921.25
3/30/2017,1255,1274.75,1253,1267.6,1270.65,6368859,80751.12
3/31/2017,1266,1337.65,1266,1320.6,1320.9,10375519,136029.18
4/3/2017,1342,1380.5,1337.05,1373.25,1374.65,10260327,140140.71
4/5/2017,1395.2,1418,1380.1,1415.05,1415,9217360,129103.86
4/6/2017,1409,1448.9,1402.2,1434,1438.5,11571075,165379.75
4/7/2017,1421.3,1434,1402.55,1405.25,1406.6,7286151,103431.88
4/10/2017,1410,1424.9,1377.3,1384.75,1381.35,7033141,98250.94
4/11/2017,1387.85,1400.45,1370.1,1375.7,1372.35,7371727,101943.85
4/12/2017,1382.8,1386.45,1351.15,1355,1354,6274215,85562.64
4/13/2017,1354,1373.4,1347.35,1365.8,1364.8,2906188,39690.78
4/17/2017,1365,1395.55,1365,1391.45,1391.85,2705854,37350.39
4/18/2017,1399.95,1410,1367,1369,1370.2,3661083,51016.01
4/19/2017,1369,1382.55,1357.55,1369.95,1368.8,2645292,36206.55
4/20/2017,1379,1386.8,1364.1,1370.45,1369.55,1918612,26319.19
4/21/2017,1380.5,1421,1378.55,1405,1402.5,6910277,97054.82
